+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
|  49 | thaumicaugmentation:emptiness_highlands    | Emptiness Highlands                                        |    0.25 | MEDIUM   | 0.50 | false | false   |            | COLD, HILLS, MOUNTAIN, SPARSE, SPOOKY, VOID     | spawn, stronghold   |
|  50 | traverse:autumnal_woods                    | Autumnal Woods                                             |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST                                          | stronghold          |
|  51 | traverse:woodlands                         | Woodlands                                                  |    0.80 | MEDIUM   | 0.40 | false | false   | WARM       | PLAINS                                          | stronghold, village |
|  52 | traverse:mini_jungle                       | Mini Jungle                                                |    0.95 | MEDIUM   | 0.90 | false | false   | WARM       | DENSE, HOT, JUNGLE, WET                         |                     |
|  53 | traverse:meadow                            | Meadow                                                     |    0.80 | MEDIUM   | 0.70 | false | false   | COOL       | LUSH, PLAINS, WET                               | stronghold, village |
|  54 | traverse:green_swamp                       | Lush Swamp                                                 |    0.80 | MEDIUM   | 0.50 | false | false   | WARM       | LUSH, SWAMP, WET                                |                     |
|  55 | traverse:red_desert                        | Red Desert                                                 |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, SANDY                                 | stronghold, village |
|  56 | traverse:temperate_rainforest              | Temperate Rainforest                                       |    0.60 | MEDIUM   | 0.90 | false | false   | COOL       | CONIFEROUS, FOREST                              | stronghold          |
|  57 | traverse:badlands                          | Badlands                                                   |    0.60 | MEDIUM   | 0.10 | false | false   | WARM       | DRY, HOT, PLAINS, SPARSE                        | stronghold, village |
|  58 | traverse:mountainous_desert                | Mountainous Desert                                         |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HOT, MOUNTAIN, SANDY                       | stronghold          |
|  59 | traverse:rocky_plateau                     | Rocky Plateau                                              |    0.80 | MEDIUM   | 0.20 | false | false   | WARM       | HOT, MOUNTAIN                                   | stronghold, village |
|  60 | traverse:forested_hills                    | Forested Hills                                             |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | stronghold          |
|  61 | traverse:birch_forested_hills              | Birch Forested Hills                                       |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | stronghold          |
|  62 | traverse:autumnal_wooded_hills             | Autumnal Wooded Hills                                      |    0.70 | MEDIUM   | 0.80 | false | false   | COOL       | FOREST, HILLS                                   | stronghold          |
|  63 | traverse:cliffs                            | Cliffs                                                     |    0.40 | MEDIUM   | 1.20 | false | false   | COOL       | COLD, HILLS, MOUNTAIN                           | stronghold          |
|  64 | traverse:glacier                           | Glacier                                                    |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                           | stronghold          |
|  65 | traverse:glacier_spikes                    | Glacier Spikes                                             |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, MOUNTAIN, SNOWY                           | stronghold          |
|  66 | traverse:snowy_coniferous_forest           | Snowy Coniferous Forest                                    |    0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                 | stronghold          |
|  67 | traverse:lush_hills                        | Lush Hills                                                 |    0.50 | MEDIUM   | 0.80 | false | false   | COOL       | HILLS, LUSH, SPARSE, WET                        | stronghold, village |
|  68 | traverse:desert_shrubland                  | Desert Shrubland                                           |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DEAD, DRY, HOT, SANDY                           | stronghold, village |
|  69 | traverse:thicket                           | Thicket                                                    |    0.80 | MEDIUM   | 0.30 | false | false   | WARM       | DENSE, FOREST                                   | stronghold          |
|  70 | traverse:arid_highland                     | Arid Highland                                              |    2.00 | WARM     | 0.00 | false | false   | DESERT     | DRY, HILLS, HOT, MOUNTAIN, SPARSE               | stronghold, village |
|  71 | traverse:rocky_plains                      | Rocky Plains                                               |    0.90 | MEDIUM   | 0.70 | false | false   | COOL       | HILLS, PLAINS, SPARSE                           | stronghold, village |
|  72 | twilightforest:twilight_lake               | Twilight Lake                                              |    0.66 | MEDIUM   | 1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                          |                     |
|  73 | twilightforest:twilight_forest             | Twilight Forest                                            |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, TWILIGHT                                | stronghold          |
|  74 | twilightforest:dense_twilight_forest       | Dense Twilight Forest                                      |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                         | stronghold          |
|  75 | twilightforest:twilight_highlands          | Twilight Highlands                                         |    0.40 | MEDIUM   | 0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT          | stronghold          |
|  76 | twilightforest:mushroom_forest             | Mushroom Forest                                            |    0.80 | MEDIUM   | 0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                      | stronghold          |
|  77 | twilightforest:twilight_swamp              | Twilight Swamp                                             |    0.80 | MEDIUM   | 0.90 | false | false   |            | SWAMP, TWILIGHT, WET                            |                     |
|  78 | twilightforest:twilight_stream             | Twilight Stream                                            |    0.50 | MEDIUM   | 0.10 | false | false   |            | RIVER, TWILIGHT, WATER                          |                     |
|  79 | twilightforest:snowy_forest                | Snowy Forest                                               |    0.09 | COLD     | 0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT       | stronghold          |
|  80 | twilightforest:twilight_glacier            | Twilight Glacier                                           |    0.00 | COLD     | 0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                | stronghold          |
|  81 | twilightforest:twilight_clearing           | Twilight Clearing                                          |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                        | stronghold          |
|  82 | twilightforest:oak_savannah                | Oak Savanna                                                |    0.90 | MEDIUM   | 0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                        | stronghold          |
|  83 | twilightforest:firefly_forest              | Firefly Forest                                             |    0.50 | MEDIUM   | 1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                          | stronghold          |
|  84 | twilightforest:deep_mushroom_forest        | Deep Mushroom Forest                                       |    0.80 | MEDIUM   | 1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                      | stronghold          |
|  85 | twilightforest:dark_forest                 | Dark Forest                                                |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                 | stronghold          |
|  86 | twilightforest:enchanted_forest            | Enchanted Forest                                           |    0.50 | MEDIUM   | 0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                       | stronghold          |
|  87 | twilightforest:fire_swamp                  | Fire Swamp                                                 |    1.00 | WARM     | 0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                 | stronghold          |
|  88 | twilightforest:dark_forest_center          | Dark Forest Center                                         |    0.50 | MEDIUM   | 0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT        | stronghold          |
|  89 | twilightforest:highlands_center            | Final Plateau                                              |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND            | stronghold          |
|  90 | twilightforest:thornlands                  | Thornlands                                                 |    0.30 | MEDIUM   | 0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND           | stronghold          |
|  91 | twilightforest:spooky_forest               | Spooky Forest                                              |    0.50 | MEDIUM   | 1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT           | stronghold          |
| 127 | minecraft:void                             | The Void                                                   |    0.50 | MEDIUM   | 0.50 | false | false   |            | VOID                                            | stronghold          |
| 129 | minecraft:mutated_plains                   | Sunflower Plains                                           |    0.80 | MEDIUM   | 0.40 | false | false   |            | PLAINS, RARE                                    | stronghold          |
| 130 | minecraft:mutated_desert                   | Desert M                                                   |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, RARE, SANDY                           | stronghold          |
| 131 | minecraft:mutated_extreme_hills            | Extreme Hills M                                            |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold          |
| 132 | minecraft:mutated_forest                   | Flower Forest                                              |    0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS, RARE                             | stronghold          |
| 133 | minecraft:mutated_taiga                    | Taiga M                                                    |    0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE        | stronghold          |
| 134 | minecraft:mutated_swampland                | Swampland M                                                |    0.80 | MEDIUM   | 0.90 | false | false   |            | HILLS, RARE, SWAMP, WET                         |                     |
| 140 | minecraft:mutated_ice_flats                | Ice Plains Spikes                                          |    0.00 | COLD     | 0.50 |  true | false   |            | COLD, HILLS, RARE, SNOWY                        | stronghold          |
| 149 | minecraft:mutated_jungle                   | Jungle M                                                   |    0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, MOUNTAIN, RARE, WET         | stronghold          |
| 151 | minecraft:mutated_jungle_edge              | JungleEdge M                                               |    0.95 | MEDIUM   | 0.80 | false | false   |            | HILLS, HOT, JUNGLE, RARE, SPARSE                | stronghold          |
| 155 | minecraft:mutated_birch_forest             | Birch Forest M                                             |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold          |
| 156 | minecraft:mutated_birch_forest_hills       | Birch Forest Hills M                                       |    0.60 | MEDIUM   | 0.60 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE                   | stronghold          |
| 157 | minecraft:mutated_roofed_forest            | Roofed Forest M                                            |    0.70 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, MOUNTAIN, RARE, SPOOKY           | stronghold          |
| 158 | minecraft:mutated_taiga_cold               | Cold Taiga M                                               |   -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, MOUNTAIN, RARE, SNOWY | stronghold          |
| 160 | minecraft:mutated_redwood_taiga            | Mega Spruce Taiga                                          |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, RARE                             | stronghold          |
| 161 | minecraft:mutated_redwood_taiga_hills      | Redwood Taiga Hills M                                      |    0.25 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                      | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees | Extreme Hills+ M                                           |    0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                          | stronghold          |
| 163 | minecraft:mutated_savanna                  | Savanna M                                                  |    1.10 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE       | stronghold          |
| 164 | minecraft:mutated_savanna_rock             | Savanna Plateau M                                          |    1.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE          | stronghold          |
| 165 | minecraft:mutated_mesa                     | Mesa (Bryce)                                               |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
| 166 | minecraft:mutated_mesa_rock                | Mesa Plateau F M                                           |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                   | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock          | Mesa Plateau M                                             |    2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                | stronghold          |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
|  ID | Registry name                              | Biome name                                                 |   temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                            | Valid for           |
+-----+--------------------------------------------+------------------------------------------------------------+---------+----------+------+-------+---------+------------+-------------------------------------------------+---------------------+
